Iteration,PathLength
1,15315
2,15315
3,6400.04
4,1336.71
5,1336.71
6,1336.71
7,1336.71
8,1336.71
9,1336.71
10,1336.71
11,1336.71
12,1336.71
13,1336.71
14,1336.71
15,1336.71
16,1336.71
17,1336.71
18,1336.71
19,1336.71
20,1336.71
21,1336.71
22,1336.71
23,1336.71
24,1336.71
25,1336.71
26,1336.71
27,669.993
28,669.993
29,669.993
30,669.993
31,669.993
32,669.993
33,669.993
34,669.993
35,669.993
36,669.993
37,669.993
38,669.993
39,669.993
40,669.993
41,669.993
42,669.993
43,669.993
44,669.993
45,669.993
46,669.993
47,669.993
48,669.993
49,669.993
50,669.993
51,669.993
52,669.993
53,669.993
54,669.993
55,669.993
56,669.993
57,669.993
58,669.993
59,669.993
60,603.947
61,603.947
62,603.947
63,603.947
64,603.947
65,603.947
66,603.947
67,603.947
68,603.947
69,603.947
70,603.947
71,603.947
72,603.947
73,603.947
74,603.947
75,603.947
76,603.947
77,603.947
78,603.947
79,603.947
80,603.947
81,603.947
82,603.947
83,603.947
84,603.947
85,603.947
86,603.947
87,603.947
88,603.947
89,603.947
90,603.947
91,603.947
92,603.947
93,603.947
94,603.947
95,603.947
96,603.947
97,603.947
98,603.947
99,603.947
100,603.947
